{'exam_id': 'PHA20241109056', 'evaluator_id': '056VPEC', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 20, 'total_percentage': 0.8, 'result': 'True', 'filename': 'PHA20241109056_anonym_audio', 'start': 128, 'end': 200832, 'ex1_response-predicted': {'2': 0.25804540514945984, '3': 0.7419545650482178}, 'ex1_lexical-predicted': {'0': 0.11164018511772156, '1': 0.20193231105804443, '2': 0.316329687833786, '3': 0.3700978457927704}, 'ex1_grammar-predicted': {'0': 0.15791159868240356, '1': 0.24924996495246887, '2': 0.4301924407482147, '3': 0.16264604032039642}, 'ex2_response-predicted': {'1': 0.13804325461387634, '2': 0.41252365708351135, '3': 0.4494330585002899}, 'ex2_questions-predicted': {'0': 0.09747515618801117, '1': 0.11954575031995773, '2': 0.27324238419532776, '3': 0.5097367167472839}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.13571622967720032, '1': 0.1980573982000351, '2': 0.3896518647670746, '3': 0.2765745222568512}, 'ex12_phoninter-predicted': {'2': 0.1629011482000351, '3': 0.5663641691207886, '4': 0.27073463797569275}, 'result-predicted': {'False': 0.24798743426799774, 'True': 0.7520125508308411}, 'ex2_lexical-predicted+prob': {'0': 2.8179278448224068, '1': 5.2934523075819016, '2': 6.966113120317459, '3': 7.922506779432297}}
{'exam_id': 'PHA20241109088', 'evaluator_id': '272AHAL', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '1', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '2', 'ex12_phoninter': '3', 'total_score': 18, 'total_percentage': 0.72, 'result': 'True', 'filename': 'PHA20241109088_anonym_audio', 'start': 128, 'end': 165328, 'ex1_response-predicted': {'2': 0.3148399889469147, '3': 0.6851600408554077}, 'ex1_lexical-predicted': {'0': 0.13879115879535675, '1': 0.22859063744544983, '2': 0.293605774641037, '3': 0.33901241421699524}, 'ex1_grammar-predicted': {'0': 0.1675971895456314, '1': 0.24838899075984955, '2': 0.40106436610221863, '3': 0.18294945359230042}, 'ex2_response-predicted': {'1': 0.17681576311588287, '2': 0.4197806715965271, '3': 0.4034035801887512}, 'ex2_questions-predicted': {'0': 0.12582208216190338, '1': 0.150957390666008, '2': 0.2883261740207672, '3': 0.4348943829536438}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.16809920966625214, '1': 0.21642407774925232, '2': 0.3578698933124542, '3': 0.25760677456855774}, 'ex12_phoninter-predicted': {'2': 0.22650471329689026, '3': 0.48706164956092834, '4': 0.2864336371421814}, 'result-predicted': {'False': 0.30975404381752014, 'True': 0.6902459859848022}, 'ex2_lexical-predicted+prob': {'0': 2.0114444866776466, '1': 3.8148678690195084, '2': 5.257099390029907, '3': 5.916588187217712}}
{'exam_id': 'PHA20241109013', 'evaluator_id': '241TSTO', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '0', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '1', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 13, 'total_percentage': 0.52, 'result': 'False', 'filename': 'PHA20241109013_anonym_audio', 'start': 145120, 'end': 496896, 'ex1_response-predicted': {'2': 0.2393493503332138, '3': 0.7606506943702698}, 'ex1_lexical-predicted': {'0': 0.1276784986257553, '1': 0.19591420888900757, '2': 0.35012996196746826, '3': 0.32627731561660767}, 'ex1_grammar-predicted': {'0': 0.15002426505088806, '1': 0.25073784589767456, '2': 0.4289473593235016, '3': 0.17029055953025818}, 'ex2_response-predicted': {'1': 0.1353568583726883, '2': 0.42556706070899963, '3': 0.4390760362148285}, 'ex2_questions-predicted': {'0': 0.08040667325258255, '1': 0.11389099061489105, '2': 0.2437409609556198, '3': 0.5619614124298096}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.1396815925836563, '1': 0.16951969265937805, '2': 0.42482197284698486, '3': 0.2659766376018524}, 'ex12_phoninter-predicted': {'2': 0.18306730687618256, '3': 0.5197307467460632, '4': 0.2972019612789154}, 'result-predicted': {'False': 0.21746215224266052, 'True': 0.7825378775596619}, 'ex2_lexical-predicted+prob': {'0': 4.356382980942726, '1': 6.942962810397148, '2': 10.319596618413925, '3': 12.3810575902462}}
{'exam_id': 'PHA20241109052', 'evaluator_id': '008JHYK', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '0', 'ex12_phoninter': '4', 'total_score': 18, 'total_percentage': 0.72, 'result': 'True', 'filename': 'PHA20241109052_anonym_audio', 'start': 128, 'end': 275792, 'ex1_response-predicted': {'2': 0.2541385591030121, '3': 0.7458614110946655}, 'ex1_lexical-predicted': {'0': 0.1275206357240677, '1': 0.19443386793136597, '2': 0.34018149971961975, '3': 0.3378639817237854}, 'ex1_grammar-predicted': {'0': 0.15359090268611908, '1': 0.25657352805137634, '2': 0.4207778871059418, '3': 0.1690576821565628}, 'ex2_response-predicted': {'1': 0.13250719010829926, '2': 0.4154902696609497, '3': 0.45200252532958984}, 'ex2_questions-predicted': {'0': 0.07671651989221573, '1': 0.11010617017745972, '2': 0.23569852113723755, '3': 0.5774787664413452}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.12151719629764557, '1': 0.17124125361442566, '2': 0.42850813269615173, '3': 0.2787334620952606}, 'ex12_phoninter-predicted': {'2': 0.17443576455116272, '3': 0.5625358819961548, '4': 0.26302841305732727}, 'result-predicted': {'False': 0.21576356887817383, 'True': 0.7842364311218262}, 'ex2_lexical-predicted+prob': {'0': 2.481125272810459, '1': 3.8716691583395004, '2': 6.180716097354889, '3': 7.466489374637604}}
{'exam_id': 'PHA20241109023', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '3', 'ex2_grammar': '2', 'ex12_phoninter': '3', 'total_score': 20, 'total_percentage': 0.8, 'result': 'True', 'filename': 'PHA20241109023_anonym_audio', 'start': 19568, 'end': 307968, 'ex1_response-predicted': {'2': 0.27752193808555603, '3': 0.7224780321121216}, 'ex1_lexical-predicted': {'0': 0.1350247710943222, '1': 0.17822489142417908, '2': 0.3737266957759857, '3': 0.3130236566066742}, 'ex1_grammar-predicted': {'0': 0.1580846607685089, '1': 0.27656805515289307, '2': 0.42017436027526855, '3': 0.14517292380332947}, 'ex2_response-predicted': {'1': 0.13427044451236725, '2': 0.41459304094314575, '3': 0.4511365592479706}, 'ex2_questions-predicted': {'0': 0.1060069277882576, '1': 0.11147467792034149, '2': 0.2579239010810852, '3': 0.5245944857597351}, 'ex2_lexical-predicted': '2', 'ex2_grammar-predicted': {'0': 0.14810241758823395, '1': 0.21412421762943268, '2': 0.37763917446136475, '3': 0.26013416051864624}, 'ex12_phoninter-predicted': {'2': 0.16291315853595734, '3': 0.5600805878639221, '4': 0.27700626850128174}, 'result-predicted': {'False': 0.24889913201332092, 'True': 0.7511008381843567}, 'ex2_lexical-predicted+prob': {'0': 3.6626411452889442, '1': 5.3983204662799835, '2': 10.031885981559753, '3': 9.907152652740479}}
{'exam_id': 'PHA20241109061', 'evaluator_id': '003MSVR', 'ex1_response': '2', 'ex1_lexical': '1', 'ex1_grammar': '0', 'ex2_response': '1', 'ex2_questions': '2', 'ex2_lexical': '1', 'ex2_grammar': '0', 'ex12_phoninter': '2', 'total_score': 9, 'total_percentage': 0.36, 'result': 'False', 'filename': 'PHA20241109061_anonym_audio', 'start': 128, 'end': 291872, 'ex1_response-predicted': {'2': 0.25580817461013794, '3': 0.7441918849945068}, 'ex1_lexical-predicted': {'0': 0.12024573981761932, '1': 0.17914921045303345, '2': 0.36705225706100464, '3': 0.3335527777671814}, 'ex1_grammar-predicted': {'0': 0.15272018313407898, '1': 0.2764055132865906, '2': 0.4285235106945038, '3': 0.14235083758831024}, 'ex2_response-predicted': {'1': 0.12166408449411392, '2': 0.4265196621417999, '3': 0.45181626081466675}, 'ex2_questions-predicted': {'0': 0.09833239763975143, '1': 0.10115701705217361, '2': 0.2445065975189209, '3': 0.556003987789154}, 'ex2_lexical-predicted': '2', 'ex2_grammar-predicted': {'0': 0.1473778784275055, '1': 0.19701561331748962, '2': 0.40553486347198486, '3': 0.25007161498069763}, 'ex12_phoninter-predicted': {'2': 0.16284725069999695, '3': 0.5711749196052551, '4': 0.2659778892993927}, 'result-predicted': {'False': 0.2247353047132492, 'True': 0.7752646803855896}, 'ex2_lexical-predicted+prob': {'0': 4.352687455713749, '1': 6.353951886296272, '2': 10.189690351486206, '3': 10.10367015004158}}
{'exam_id': 'PHA20241109046', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '2', 'ex2_lexical': '2', 'ex2_grammar': '2', 'ex12_phoninter': '3', 'total_score': 21, 'total_percentage': 0.84, 'result': 'True', 'filename': 'PHA20241109046_anonym_audio', 'start': 128, 'end': 288144, 'ex1_response-predicted': {'2': 0.2705284059047699, '3': 0.7294715642929077}, 'ex1_lexical-predicted': {'0': 0.12262753397226334, '1': 0.17565585672855377, '2': 0.37322771549224854, '3': 0.32848894596099854}, 'ex1_grammar-predicted': {'0': 0.15585964918136597, '1': 0.233637735247612, '2': 0.43936607241630554, '3': 0.17113655805587769}, 'ex2_response-predicted': {'1': 0.14268875122070312, '2': 0.4308009743690491, '3': 0.4265102744102478}, 'ex2_questions-predicted': {'0': 0.08481737226247787, '1': 0.10291050374507904, '2': 0.24524752795696259, '3': 0.5670245885848999}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.13575918972492218, '1': 0.19128763675689697, '2': 0.39726880192756653, '3': 0.2756843864917755}, 'ex12_phoninter-predicted': {'2': 0.14888952672481537, '3': 0.572147011756897, '4': 0.27896347641944885}, 'result-predicted': {'False': 0.2221933901309967, 'True': 0.7778065800666809}, 'ex2_lexical-predicted+prob': {'0': 2.7062269672751427, '1': 4.30695416033268, '2': 7.661479860544205, '3': 9.325339078903198}}
{'exam_id': 'PHA20241109025', 'evaluator_id': '228IPAN', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '2', 'ex12_phoninter': '3', 'total_score': 19, 'total_percentage': 0.76, 'result': 'True', 'filename': 'PHA20241109025_anonym_audio', 'start': 10128, 'end': 304304, 'ex1_response-predicted': {'2': 0.2695659101009369, '3': 0.7304341197013855}, 'ex1_lexical-predicted': {'0': 0.12130890041589737, '1': 0.1679280400276184, '2': 0.3529955744743347, '3': 0.3577674627304077}, 'ex1_grammar-predicted': {'0': 0.14780078828334808, '1': 0.2199874222278595, '2': 0.45072418451309204, '3': 0.18148764967918396}, 'ex2_response-predicted': {'1': 0.14480556547641754, '2': 0.420238196849823, '3': 0.43495625257492065}, 'ex2_questions-predicted': {'0': 0.0943361222743988, '1': 0.11023624986410141, '2': 0.2588854134082794, '3': 0.5365422368049622}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.12911070883274078, '1': 0.19877803325653076, '2': 0.39973315596580505, '3': 0.2723781168460846}, 'ex12_phoninter-predicted': {'2': 0.15912146866321564, '3': 0.5383009910583496, '4': 0.30257752537727356}, 'result-predicted': {'False': 0.20745545625686646, 'True': 0.7925444841384888}, 'ex2_lexical-predicted+prob': {'0': 3.5350238010287285, '1': 5.1634716391563416, '2': 9.561517119407654, '3': 12.73998761177063}}
{'exam_id': 'PHA20241109018', 'evaluator_id': '228IPAN', 'ex1_response': '2', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 17, 'total_percentage': 0.68, 'result': 'True', 'filename': 'PHA20241109018_anonym_audio', 'start': 128, 'end': 257488, 'ex1_response-predicted': {'2': 0.2408638745546341, '3': 0.7591361403465271}, 'ex1_lexical-predicted': {'0': 0.11109693348407745, '1': 0.19113989174365997, '2': 0.3636507987976074, '3': 0.33411234617233276}, 'ex1_grammar-predicted': {'0': 0.12678192555904388, '1': 0.2615087330341339, '2': 0.4466368854045868, '3': 0.1650724858045578}, 'ex2_response-predicted': {'1': 0.11006972193717957, '2': 0.4414346218109131, '3': 0.4484957158565521}, 'ex2_questions-predicted': {'0': 0.07860054820775986, '1': 0.09625639021396637, '2': 0.24887892603874207, '3': 0.5762641429901123}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.13898761570453644, '1': 0.18381425738334656, '2': 0.3863894045352936, '3': 0.290808767080307}, 'ex12_phoninter-predicted': {'2': 0.16447587311267853, '3': 0.582406222820282, '4': 0.2531178593635559}, 'result-predicted': {'False': 0.2158462107181549, 'True': 0.7841538190841675}, 'ex2_lexical-predicted+prob': {'0': 3.0138747468590736, '1': 5.6865775138139725, '2': 8.23275800049305, '3': 11.06678980588913}}
{'exam_id': 'PHA20241109006', 'evaluator_id': '241TSTO', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '1', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '2', 'ex12_phoninter': '3', 'total_score': 18, 'total_percentage': 0.72, 'result': 'True', 'filename': 'PHA20241109006_anonym_audio', 'start': 2288, 'end': 175136, 'ex1_response-predicted': {'2': 0.24287842214107513, '3': 0.7571215629577637}, 'ex1_lexical-predicted': {'0': 0.11932621896266937, '1': 0.1737034171819687, '2': 0.3375305235385895, '3': 0.36943987011909485}, 'ex1_grammar-predicted': {'0': 0.11976341158151627, '1': 0.2179582715034485, '2': 0.47159647941589355, '3': 0.1906818002462387}, 'ex2_response-predicted': {'1': 0.11744124442338943, '2': 0.3476739823818207, '3': 0.5348848104476929}, 'ex2_questions-predicted': {'0': 0.0825352668762207, '1': 0.128208190202713, '2': 0.25237134099006653, '3': 0.5368852019309998}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.12578518688678741, '1': 0.16538187861442566, '2': 0.414654940366745, '3': 0.29417797923088074}, 'ex12_phoninter-predicted': {'2': 0.17354288697242737, '3': 0.4912495017051697, '4': 0.33520761132240295}, 'result-predicted': {'False': 0.22059419751167297, 'True': 0.7794057726860046}, 'ex2_lexical-predicted+prob': {'0': 2.9943875521421432, '1': 5.544834062457085, '2': 8.15813335776329, '3': 11.302645295858383}}
{'exam_id': 'PHA20241109058', 'evaluator_id': '056VPEC', 'ex1_response': '2', 'ex1_lexical': '0', 'ex1_grammar': '0', 'ex2_response': '1', 'ex2_questions': '0', 'ex2_lexical': '0', 'ex2_grammar': '0', 'ex12_phoninter': '2', 'total_score': 5, 'total_percentage': 0.2, 'result': 'False', 'filename': 'PHA20241109058_anonym_audio', 'start': 128, 'end': 216288, 'ex1_response-predicted': {'2': 0.27033573389053345, '3': 0.7296642661094666}, 'ex1_lexical-predicted': {'0': 0.13060824573040009, '1': 0.2180079221725464, '2': 0.35106515884399414, '3': 0.3003185987472534}, 'ex1_grammar-predicted': {'0': 0.1558983027935028, '1': 0.27752891182899475, '2': 0.3824756145477295, '3': 0.18409718573093414}, 'ex2_response-predicted': {'1': 0.11565978825092316, '2': 0.4194662868976593, '3': 0.4648739695549011}, 'ex2_questions-predicted': {'0': 0.08346323668956757, '1': 0.12365218997001648, '2': 0.24195152521133423, '3': 0.5509330630302429}, 'ex2_lexical-predicted': '3', 'ex2_grammar-predicted': {'0': 0.1519583761692047, '1': 0.2021493911743164, '2': 0.3655094802379608, '3': 0.2803827226161957}, 'ex12_phoninter-predicted': {'2': 0.1892552524805069, '3': 0.5192440152168274, '4': 0.2915007174015045}, 'result-predicted': {'False': 0.2507292628288269, 'True': 0.7492707371711731}, 'ex2_lexical-predicted+prob': {'0': 5.255472891032696, '1': 10.24224616587162, '2': 11.354325860738754, '3': 12.147955179214478}}
